Symbol,Company,Market,Sector,Priority,Enabled
ANRO,"Alto Neuroscience, Inc. Common Stock",NYSE,Unknown,Normal,Yes
ANVS,"Annovis Bio, Inc. Common Stock",NYSE,Unknown,Normal,Yes
AOMR,"Angel Oak Mortgage REIT, Inc. Common Stock",NYSE,Unknown,Normal,Yes
AON,Aon plc Class A Ordinary Shares (Ireland),NYSE,Unknown,Normal,Yes
AORT,"Artivion, Inc. Common Stock",NYSE,Unknown,Normal,Yes
AOS,A.O. Smith Corporation Common Stock,NYSE,Unknown,Normal,Yes
AP,Ampco-Pittsburgh Corporation Common Stock,NYSE,Unknown,Normal,Yes
APAM,Artisan Partners Asset Management Inc. Class A Common Stock,NYSE,Unknown,Normal,Yes
APD,"Air Products and Chemicals, Inc. Common Stock",NYSE,Unknown,Normal,Yes
APG,APi Group Corporation Common Stock,NYSE,Unknown,Normal,Yes
APH,Amphenol Corporation Common Stock,NYSE,Unknown,Normal,Yes
APLE,"Apple Hospitality REIT, Inc. Common Shares",NYSE,Unknown,Normal,Yes
APO,"Apollo Global Management, Inc. (New) Common Stock",NYSE,Unknown,Normal,Yes
APTV,Aptiv PLC Ordinary Shares,NYSE,Unknown,Normal,Yes
AQN,Algonquin Power & Utilities Corp. Common Shares,NYSE,Unknown,Normal,Yes
AQNB,"Algonquin Power & Utilities Corp. 6.20% Fixed-to-Floating Subordinated Notes Series 2019-A due July 1, 2079",NYSE,Unknown,Normal,Yes
AR,Antero Resources Corporation Common Stock,NYSE,Unknown,Normal,Yes
ARCO,Arcos Dorados Holdings Inc. Class A Shares,NYSE,Unknown,Normal,Yes
ARDT,"Ardent Health, Inc. Common Stock",NYSE,Unknown,Normal,Yes
ARE,"Alexandria Real Estate Equities, Inc. Common Stock",NYSE,Unknown,Normal,Yes
ARES,Ares Management Corporation Class A Common Stock,NYSE,Unknown,Normal,Yes
ARI,"Apollo Commercial Real Estate Finance, Inc",NYSE,Unknown,Normal,Yes
ARIS,Aris Mining Corporation Common Shares,NYSE,Unknown,Normal,Yes
ARL,"American Realty Investors, Inc. Common Stock",NYSE,Unknown,Normal,Yes
ARLO,"Arlo Technologies, Inc. Common Stock",NYSE,Unknown,Normal,Yes
ARMK,Aramark Common Stock,NYSE,Unknown,Normal,Yes
AROC,"Archrock, Inc. Common Stock",NYSE,Unknown,Normal,Yes
ARR,"ARMOUR Residential REIT, Inc.",NYSE,Unknown,Normal,Yes
ARW,"Arrow Electronics, Inc. Common Stock",NYSE,Unknown,Normal,Yes
ARX,Accelerant Holdings Class A Common Shares,NYSE,Unknown,Normal,Yes
AS,"Amer Sports, Inc. Ordinary Shares",NYSE,Unknown,Normal,Yes
ASA,ASA  Gold and Precious Metals Limited,NYSE,Unknown,Normal,Yes
ASAN,"Asana, Inc. Class A Common Stock",NYSE,Unknown,Normal,Yes
ASB,Associated Banc-Corp Common Stock,NYSE,Unknown,Normal,Yes
ASC,Ardmore Shipping Corporation Common Stock,NYSE,Unknown,Normal,Yes
ASH,Ashland Inc. Common Stock,NYSE,Unknown,Normal,Yes
ASIC,Ategrity Specialty Insurance Company Holdings Common Stock,NYSE,Unknown,Normal,Yes
ASIX,AdvanSix Inc. Common Stock,NYSE,Unknown,Normal,Yes
ASPN,"Aspen Aerogels, Inc. Common Stock",NYSE,Unknown,Normal,Yes
ASR,"Grupo Aeroportuario del Sureste, S.A. de C.V. Common Stock",NYSE,Unknown,Normal,Yes
ASX,"ASE Technology Holding Co., Ltd. American Depositary Shares (each representing Two Common Shares)",NYSE,Unknown,Normal,Yes
ATEN,"A10 Networks, Inc. Common Stock",NYSE,Unknown,Normal,Yes
ATHM,"Autohome Inc. American Depositary Shares, each representing four class A ordinary shares.",NYSE,Unknown,Normal,Yes
ATI,ATI Inc. Common Stock,NYSE,Unknown,Normal,Yes
ATKR,Atkore Inc. Common Stock,NYSE,Unknown,Normal,Yes
ATMU,Atmus Filtration Technologies Inc. Common Stock,NYSE,Unknown,Normal,Yes
ATO,Atmos Energy Corporation Common Stock,NYSE,Unknown,Normal,Yes
ATR,"AptarGroup, Inc. Common Stock",NYSE,Unknown,Normal,Yes
ATS,ATS Corporation Common Shares,NYSE,Unknown,Normal,Yes
AU,AngloGold Ashanti PLC Ordinary Shares,NYSE,Unknown,Normal,Yes
AUB,Atlantic Union Bankshares Corporation Common Stock,NYSE,Unknown,Normal,Yes
AUNA,Auna SA Class A Ordinary Shares,NYSE,Unknown,Normal,Yes
AVA,Avista Corporation Common Stock,NYSE,Unknown,Normal,Yes
AVBC,"Avidia Bancorp, Inc. Common Stock",NYSE,Unknown,Normal,Yes
AVD,American Vanguard Corporation Common Stock ($0.10 Par Value),NYSE,Unknown,Normal,Yes
AVEX,AEVEX Corp. Class A Common Stock,NYSE,Unknown,Normal,Yes
AVNS,"Avanos Medical, Inc. Common Stock",NYSE,Unknown,Normal,Yes
AVNT,Avient Corporation Common Stock,NYSE,Unknown,Normal,Yes
AVTR,"Avantor, Inc. Common Stock",NYSE,Unknown,Normal,Yes
AVY,Avery Dennison Corporation Common Stock,NYSE,Unknown,Normal,Yes
AWI,Armstrong World Industries Inc Common Stock,NYSE,Unknown,Normal,Yes
AWK,"American Water Works Company, Inc. Common Stock",NYSE,Unknown,Normal,Yes
AWR,American States Water Company Common Stock,NYSE,Unknown,Normal,Yes
AX,"Axos Financial, Inc. Common Stock",NYSE,Unknown,Normal,Yes
AXIA,AXIA Energia American Depositary Shares (Each representing one Common Share),NYSE,Unknown,Normal,Yes
AXP,American Express Company Common Stock,NYSE,Unknown,Normal,Yes
AXR,AMREP Corporation Common Stock,NYSE,Unknown,Normal,Yes
AXS,Axis Capital Holdings Limited Common Stock,NYSE,Unknown,Normal,Yes
AXTA,Axalta Coating Systems Ltd. Common Shares,NYSE,Unknown,Normal,Yes
AYI,Acuity Inc. Common Stock,NYSE,Unknown,Normal,Yes
AZN,AstraZeneca PLC Ordinary Shares,NYSE,Unknown,Normal,Yes
AZO,"AutoZone, Inc. Common Stock",NYSE,Unknown,Normal,Yes
AZUL,"Azul S.A. American Depositary Shares, each representing two (2) Common Shares",NYSE,Unknown,Normal,Yes
AZZ,AZZ Inc.,NYSE,Unknown,Normal,Yes
B,Barrick Mining Corporation Common Shares,NYSE,Unknown,Normal,Yes
BA,Boeing Company (The) Common Stock,NYSE,Unknown,Normal,Yes
BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share,NYSE,Unknown,Normal,Yes
BAC,Bank of America Corporation Common Stock,NYSE,Unknown,Normal,Yes
BAH,Booz Allen Hamilton Holding Corporation Common Stock,NYSE,Unknown,Normal,Yes
BAK,Braskem SA ADR,NYSE,Unknown,Normal,Yes
BALL,Ball Corporation Common Stock,NYSE,Unknown,Normal,Yes
BALY,Bally's Corporation Common Stock,NYSE,Unknown,Normal,Yes
BAM,Brookfield Asset Management Inc Class A Limited Voting Shares,NYSE,Unknown,Normal,Yes
BANC,"Banc of California, Inc. Common Stock",NYSE,Unknown,Normal,Yes
BAP,Credicorp Ltd. Common Stock,NYSE,Unknown,Normal,Yes
BARK,"BARK, Inc. Class A Common Stock",NYSE,Unknown,Normal,Yes
BAX,Baxter International Inc. Common Stock,NYSE,Unknown,Normal,Yes
BB,BlackBerry Limited Common Stock,NYSE,Unknown,Normal,Yes
BBAI,"BigBear.ai, Inc. Common Stock",NYSE,Unknown,Normal,Yes
BBAR,Banco BBVA Argentina S.A. ADS,NYSE,Unknown,Normal,Yes
BBBY,"Bed Bath & Beyond, Inc. Common Stock",NYSE,Unknown,Normal,Yes
BBD,Banco Bradesco Sa American Depositary Shares,NYSE,Unknown,Normal,Yes
BBDC,"Barings BDC, Inc. Common Stock",NYSE,Unknown,Normal,Yes
BBDO,Banco Bradesco Sa American Depositary Shares (each representing one Common Share),NYSE,Unknown,Normal,Yes
BBT,Beacon Financial Corporation Common stock,NYSE,Unknown,Normal,Yes
BBUC,Brookfield Business Corporation Class A Subordinate Voting Shares,NYSE,Unknown,Normal,Yes
BBVA,Banco Bilbao Vizcaya Argentaria S.A. Common Stock,NYSE,Unknown,Normal,Yes
BBW,"Build-A-Bear Workshop, Inc. Common Stock",NYSE,Unknown,Normal,Yes
BBWI,"Bath & Body Works, Inc.",NYSE,Unknown,Normal,Yes
BBY,"Best Buy Co., Inc. Common Stock",NYSE,Unknown,Normal,Yes
BC,Brunswick Corporation Common Stock,NYSE,Unknown,Normal,Yes
BCAT,BlackRock Capital Allocation Term Trust Common Shares of Beneficial Interest,NYSE,Unknown,Normal,Yes
BCC,"Boise Cascade, L.L.C. Common Stock",NYSE,Unknown,Normal,Yes
BCE,"BCE, Inc. Common Stock",NYSE,Unknown,Normal,Yes
BCH,Banco De Chile ADS,NYSE,Unknown,Normal,Yes
BCO,Brinks Company (The) Common Stock,NYSE,Unknown,Normal,Yes
BCS,Barclays PLC Common Stock,NYSE,Unknown,Normal,Yes
BCSF,"Bain Capital Specialty Finance, Inc. Common Stock",NYSE,Unknown,Normal,Yes
BCSS,Bain Capital GSS Investment Corp. Class A Ordinary Shares,NYSE,Unknown,Normal,Yes
BCX,BlackRock Resources Common Shares of Beneficial Interest,NYSE,Unknown,Normal,Yes
BDC,Belden Inc Common Stock,NYSE,Unknown,Normal,Yes
BDJ,Blackrock Enhanced Equity Dividend Trust,NYSE,Unknown,Normal,Yes
BDN,Brandywine Realty Trust Common Stock,NYSE,Unknown,Normal,Yes
BDX,"Becton, Dickinson and Company Common Stock",NYSE,Unknown,Normal,Yes
BE,Bloom Energy Corporation Class A Common Stock,NYSE,Unknown,Normal,Yes
BEBE,TGE Value Creative Solutions Corp Class A Ordinary Shares,NYSE,Unknown,Normal,Yes
BEKE,KE Holdings Inc American Depositary Shares (each representing three Class A Ordinary Shares),NYSE,Unknown,Normal,Yes
BEN,"Franklin Resources, Inc. Common Stock",NYSE,Unknown,Normal,Yes
BEPC,Brookfield Renewable Corporation Brookfield Renewable Corporation Class A Subordinate Voting Shares,NYSE,Unknown,Normal,Yes
BEPH,Brookfield BRP Holdings (Canada) Inc. 4.625% Perpetual Subordinated Notes,NYSE,Unknown,Normal,Yes
BEPI,Brookfield BRP Holdings (Canada) Inc. 4.875% Perpetual Subordinated Notes,NYSE,Unknown,Normal,Yes
BEPJ,Brookfield BRP Holdings (Canada) Inc. 7.250% Perpetual Subordinated Notes,NYSE,Unknown,Normal,Yes
BETA,"Beta Technologies, Inc. Class A Common Stock",NYSE,Unknown,Normal,Yes
BF-A,Brown Forman Inc Class A Common Stock,NYSE,Unknown,Normal,Yes
BF-B,Brown Forman Inc Class B Common Stock,NYSE,Unknown,Normal,Yes
BFH,"Bread Financial Holdings, Inc. Common Stock",NYSE,Unknown,Normal,Yes
BFLY,"Butterfly Network, Inc. Class A Common Stock",NYSE,Unknown,Normal,Yes
BFS,"Saul Centers, Inc. Common Stock",NYSE,Unknown,Normal,Yes
BG,Bunge Limited Common Shares,NYSE,Unknown,Normal,Yes
BGR,BlackRock Energy and Resources Trust,NYSE,Unknown,Normal,Yes
BGS,"B&G Foods, Inc. Common Stock",NYSE,Unknown,Normal,Yes
BGSF,"BGSF, Inc. Common Stock",NYSE,Unknown,Normal,Yes
BGSI,Boyd Group Services Inc. Common Shares,NYSE,Unknown,Normal,Yes
BGT,BlackRock Floating Rate Income Trust,NYSE,Unknown,Normal,Yes
BGY,Blackrock Enhanced International Dividend Trust,NYSE,Unknown,Normal,Yes
BH,Biglari Holdings Inc. Class B Common Stock,NYSE,Unknown,Normal,Yes
BH-A,Biglari Holdings Inc. Class A Common Stock,NYSE,Unknown,Normal,Yes
BHC,Bausch Health Companies Inc. Common Stock,NYSE,Unknown,Normal,Yes
BHE,"Benchmark Electronics, Inc. Common Stock",NYSE,Unknown,Normal,Yes
BHP,BHP Group Limited American Depositary Shares (Each representing two Ordinary Shares),NYSE,Unknown,Normal,Yes
BHR,Braemar Hotels & Resorts Inc. Common Stock,NYSE,Unknown,Normal,Yes
BHVN,Biohaven Ltd. Common Shares,NYSE,Unknown,Normal,Yes
BIII,Black Spade Acquisition III Co Class A Ordinary Shares,NYSE,Unknown,Normal,Yes
BILL,"BILL Holdings, Inc. Common Stock",NYSE,Unknown,Normal,Yes
BIO,"Bio-Rad Laboratories, Inc. Class A Common Stock",NYSE,Unknown,Normal,Yes
BIO-B,"Bio-Rad Laboratories, Inc. Class B  Common Stock",NYSE,Unknown,Normal,Yes
BIPC,Brookfield Infrastructure Corporation Brookfield Infrastructure Corporation,NYSE,Unknown,Normal,Yes
BIPI,BIP Bermuda Holdings I Limited 5.125% Perpetual Subordinated Notes,NYSE,Unknown,Normal,Yes
BIRK,Birkenstock Holding plc Ordinary Shares,NYSE,Unknown,Normal,Yes
BIT,BlackRock Multi-Sector Income Trust Common Shares of Beneficial Interest,NYSE,Unknown,Normal,Yes
BJ,"BJ's Wholesale Club Holdings, Inc. Common Stock",NYSE,Unknown,Normal,Yes
BKD,Brookdale Senior Living Inc. Common Stock,NYSE,Unknown,Normal,Yes
BKE,"Buckle, Inc. (The) Common Stock",NYSE,Unknown,Normal,Yes
BKH,Black Hills Corporation Common Stock,NYSE,Unknown,Normal,Yes
BKKT,"Bakkt, Inc. Class A Common Stock",NYSE,Unknown,Normal,Yes
BKSY,BlackSky Technology Inc. Class A Common Stock,NYSE,Unknown,Normal,Yes
BKT,BlackRock Income Trust Inc. (The),NYSE,Unknown,Normal,Yes
BKV,BKV Corporation Common Stock,NYSE,Unknown,Normal,Yes
BLCO,Bausch + Lomb Corporation Common Shares,NYSE,Unknown,Normal,Yes
BLDR,"Builders FirstSource, Inc. Common Stock",NYSE,Unknown,Normal,Yes
BLK,"BlackRock, Inc. Common Stock",NYSE,Unknown,Normal,Yes
BLND,"Blend Labs, Inc. Class A Common Stock",NYSE,Unknown,Normal,Yes
BLSH,Bullish Ordinary Shares,NYSE,Unknown,Normal,Yes
BLW,Blackrock Limited Duration Income Trust,NYSE,Unknown,Normal,Yes
BLX,"Bladex, Inc. Class E Common Stock",NYSE,Unknown,Normal,Yes
BMA,Banco Macro S.A.  ADR (representing Ten Class B Common Shares),NYSE,Unknown,Normal,Yes
BME,Blackrock Health Sciences Trust,NYSE,Unknown,Normal,Yes
BMEZ,BlackRock Health Sciences Term Trust Common Shares of Beneficial Interest,NYSE,Unknown,Normal,Yes
BMI,"Badger Meter, Inc. Common Stock",NYSE,Unknown,Normal,Yes
BMN,BlackRock 2037 Municipal Target Term Trust Common Shares of Beneficial Interest,NYSE,Unknown,Normal,Yes
BMNR,"BitMine Immersion Technologies, Inc. Common Stock",NYSE,Unknown,Normal,Yes
BMO,Bank Of Montreal Common Stock,NYSE,Unknown,Normal,Yes
BMY,Bristol-Myers Squibb Company Common Stock,NYSE,Unknown,Normal,Yes
BN,Brookfield Corporation Class A Limited Voting Shares,NYSE,Unknown,Normal,Yes
BNED,"Barnes & Noble Education, Inc Common Stock",NYSE,Unknown,Normal,Yes
BNJ,Brookfield Finance Inc. 4.50% Perpetual Subordinated Notes,NYSE,Unknown,Normal,Yes
BNL,"Broadstone Net Lease, Inc. Common Stock",NYSE,Unknown,Normal,Yes
BNS,Bank Nova Scotia Halifax Pfd 3 Ordinary Shares,NYSE,Unknown,Normal,Yes
BNT,Brookfield Wealth Solutions Ltd. Class A Exchangeable Limited Voting Shares,NYSE,Unknown,Normal,Yes
BNY,The Bank of New York Mellon Corporation Common Stock,NYSE,Unknown,Normal,Yes
BOBS,"Bob's Discount Furniture, Inc. Common Stock",NYSE,Unknown,Normal,Yes
BOC,Boston Omaha Corporation Class A Common Stock,NYSE,Unknown,Normal,Yes
BOE,Blackrock Enhanced Global Dividend Trust Common Shares of Beneficial Interest,NYSE,Unknown,Normal,Yes
BOH,Bank of Hawaii Corporation Common Stock,NYSE,Unknown,Normal,Yes
BOOT,"Boot Barn Holdings, Inc. Common Stock",NYSE,Unknown,Normal,Yes
BORR,Borr Drilling Limited Common Shares,NYSE,Unknown,Normal,Yes
BOW,Bowhead Specialty Holdings Inc. Common Stock,NYSE,Unknown,Normal,Yes
BOX,"Box, Inc. Class A Common Stock",NYSE,Unknown,Normal,Yes
BP,BP p.l.c. Common Stock,NYSE,Unknown,Normal,Yes
BR,"Broadridge Financial Solutions, Inc. Common Stock",NYSE,Unknown,Normal,Yes
BRBR,"BellRing Brands, Inc. Common Stock",NYSE,Unknown,Normal,Yes
BRC,Brady Corporation Common Stock,NYSE,Unknown,Normal,Yes
BRCC,BRC Inc. Class A Common Stock,NYSE,Unknown,Normal,Yes
BRK-A,Berkshire Hathaway Inc. Common Stock,NYSE,Unknown,Normal,Yes
BRK-B,Berkshire Hathaway Inc. New Common Stock,NYSE,Unknown,Normal,Yes
BRO,"Brown & Brown, Inc. Common Stock",NYSE,Unknown,Normal,Yes
BROS,Dutch Bros Inc. Class A Common Stock,NYSE,Unknown,Normal,Yes
BRT,BRT Apartments Corp. (MD) Common Stock,NYSE,Unknown,Normal,Yes
BRX,Brixmor Property Group Inc. Common Stock,NYSE,Unknown,Normal,Yes
BSAC,Banco Santander - Chile ADS,NYSE,Unknown,Normal,Yes
BST,BlackRock Science and Technology Trust Common Shares of Beneficial Interest,NYSE,Unknown,Normal,Yes
BSTZ,BlackRock Science and Technology Term Trust Common Shares of Beneficial Interest,NYSE,Unknown,Normal,Yes
BSX,Boston Scientific Corporation Common Stock,NYSE,Unknown,Normal,Yes
BTE,Baytex Energy Corp Common Shares,NYSE,Unknown,Normal,Yes
BTGO,"BitGo Holdings, Inc. Class A Common Stock",NYSE,Unknown,Normal,Yes
BTI,"British American Tobacco  Industries, p.l.c. Common Stock ADR",NYSE,Unknown,Normal,Yes
BTT,BlackRock Municipal 2030 Target Term Trust,NYSE,Unknown,Normal,Yes
BTU,Peabody Energy Corporation Common Stock,NYSE,Unknown,Normal,Yes
BTX,BlackRock Technology and Private Equity Term Trust Common Shares of Beneficial Interest,NYSE,Unknown,Normal,Yes
BTZ,BlackRock Credit Allocation Income Trust,NYSE,Unknown,Normal,Yes
BUD,Anheuser-Busch Inbev SA Sponsored ADR (Belgium),NYSE,Unknown,Normal,Yes
BUR,Burford Capital Limited Ordinary Shares,NYSE,Unknown,Normal,Yes
BURL,"Burlington Stores, Inc. Common Stock",NYSE,Unknown,Normal,Yes
BV,"BrightView Holdings, Inc. Common Stock",NYSE,Unknown,Normal,Yes
BVN,Buenaventura Mining Company Inc.,NYSE,Unknown,Normal,Yes
BW,"Babcock & Wilcox Enterprises, Inc. Common Stock",NYSE,Unknown,Normal,Yes
BWA,BorgWarner Inc. Common Stock,NYSE,Unknown,Normal,Yes
BWLP,BW LPG Limited Common Shares,NYSE,Unknown,Normal,Yes
BWMX,"Betterware de Mexico, S.A.P.I. de C.V. Ordinary Shares",NYSE,Unknown,Normal,Yes
BWXT,"BWX Technologies, Inc. Common Stock",NYSE,Unknown,Normal,Yes
BX,Blackstone Inc. Common Stock,NYSE,Unknown,Normal,Yes
BXC,Bluelinx Holdings Inc. Common Stock,NYSE,Unknown,Normal,Yes
